·ûºÅÕ»                               ×´Ì¬Õ»                                                                                       ÊäÈë´®                                                                          ACTION         GOTO      
#BC(){TX2=Y;                         0,7,10,11,12,13,23,25,14,26,38,54,                                                          2=3+2;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#        r33              25
#BC(){TXX                            0,7,10,11,12,13,23,25,25,                                                                   2=3+2;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#        S14
#BC(){TXX2                           0,7,10,11,12,13,23,25,25,14,                                                                =3+2;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#         S26
#BC(){TXX2=                          0,7,10,11,12,13,23,25,25,14,26,                                                             3+2;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#          S37
#BC(){TXX2=3                         0,7,10,11,12,13,23,25,25,14,26,37,                                                          +2;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#           r35              38
#BC(){TXX2=Y                         0,7,10,11,12,13,23,25,25,14,26,38,                                                          +2;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#           S51
#BC(){TXX2=Y+                        0,7,10,11,12,13,23,25,25,14,26,38,51,                                                       2;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#            r36              55
#BC(){TXX2=YQ                        0,7,10,11,12,13,23,25,25,14,26,38,55,                                                       2;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#            S61
#BC(){TXX2=YQ2                       0,7,10,11,12,13,23,25,25,14,26,38,55,61,                                                    ;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#             r34              65
#BC(){TXX2=YQY                       0,7,10,11,12,13,23,25,25,14,26,38,55,65,                                                    ;2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#             S75
#BC(){TXX2=YQY;                      0,7,10,11,12,13,23,25,25,14,26,38,55,65,75,                                                 2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#              r32              25
#BC(){TXXX                           0,7,10,11,12,13,23,25,25,25,                                                                2=3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#              S14
#BC(){TXXX2                          0,7,10,11,12,13,23,25,25,25,14,                                                             =3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#               S26
#BC(){TXXX2=                         0,7,10,11,12,13,23,25,25,25,14,26,                                                          3;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                S37
#BC(){TXXX2=3                        0,7,10,11,12,13,23,25,25,25,14,26,37,                                                       ;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                 r35              38
#BC(){TXXX2=Y                        0,7,10,11,12,13,23,25,25,25,14,26,38,                                                       ;2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                 S54
#BC(){TXXX2=Y;                       0,7,10,11,12,13,23,25,25,25,14,26,38,54,                                                    2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                  r33              25
#BC(){TXXXX                          0,7,10,11,12,13,23,25,25,25,25,                                                             2=3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                  S14
#BC(){TXXXX2                         0,7,10,11,12,13,23,25,25,25,25,14,                                                          =3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                   S26
#BC(){TXXXX2=                        0,7,10,11,12,13,23,25,25,25,25,14,26,                                                       3;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                    S37
#BC(){TXXXX2=3                       0,7,10,11,12,13,23,25,25,25,25,14,26,37,                                                    ;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                     r35              38
#BC(){TXXXX2=Y                       0,7,10,11,12,13,23,25,25,25,25,14,26,38,                                                    ;2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                     S54
#BC(){TXXXX2=Y;                      0,7,10,11,12,13,23,25,25,25,25,14,26,38,54,                                                 2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                      r33              25
#BC(){TXXXXX                         0,7,10,11,12,13,23,25,25,25,25,25,                                                          2=3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                      S14
#BC(){TXXXXX2                        0,7,10,11,12,13,23,25,25,25,25,25,14,                                                       =3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                       S26
#BC(){TXXXXX2=                       0,7,10,11,12,13,23,25,25,25,25,25,14,26,                                                    3+3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                        S37
#BC(){TXXXXX2=3                      0,7,10,11,12,13,23,25,25,25,25,25,14,26,37,                                                 +3;h2;2=3;w(2){2=2-3;}h2=3;f(2=3;2<=3;2=2+3){2=3;}r3;}#                         r35              38
