·ûºÅÕ»                               ×´Ì¬Õ»                                                                                       ÊäÈë´®                                                                          ACTION         GOTO      
#BC(){TXXXXXXTXWTf(F                 0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,40,                                  ){2=3;}r3;}#                                                                    S57
#BC(){TXXXXXXTXWTf(F)                0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,40,57,                               {2=3;}r3;}#                                                                     S67
#BC(){TXXXXXXTXWTf(F){               0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,40,57,67,                            2=3;}r3;}#                                                                      S77
#BC(){TXXXXXXTXWTf(F){2              0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,40,57,67,77,                         =3;}r3;}#                                                                       S93
#BC(){TXXXXXXTXWTf(F){2=             0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,40,57,67,77,93,                      3;}r3;}#                                                                        S37
#BC(){TXXXXXXTXWTf(F){2=3            0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,40,57,67,77,93,37,                   ;}r3;}#                                                                         r35              108
#BC(){TXXXXXXTXWTf(F){2=Y            0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,40,57,67,77,93,108,                  ;}r3;}#                                                                         S115
#BC(){TXXXXXXTXWTf(F){2=Y;           0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,40,57,67,77,93,108,115,              }r3;}#                                                                          r33              84
#BC(){TXXXXXXTXWTf(F){X              0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,40,57,67,84,                         }r3;}#                                                                          r18              100
#BC(){TXXXXXXTXWTf(F){XE             0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,40,57,67,84,100,                     }r3;}#                                                                          r16              81
#BC(){TXXXXXXTXWTf(F){E              0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,40,57,67,81,                         }r3;}#                                                                          S97
#BC(){TXXXXXXTXWTf(F){E}             0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,16,27,40,57,67,81,97,                      r3;}#                                                                           r26              24
#BC(){TXXXXXXTXWTW                   0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,24,                                        r3;}#                                                                           r18              34
#BC(){TXXXXXXTXWTWE                  0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,24,34,                                     r3;}#                                                                           r15              33
#BC(){TXXXXXXTXWTE                   0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,23,33,                                        r3;}#                                                                           r17              34
#BC(){TXXXXXXTXWE                    0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,24,34,                                           r3;}#                                                                           r15              35
#BC(){TXXXXXXTXE                     0,7,10,11,12,13,23,25,25,25,25,25,25,23,25,35,                                              r3;}#                                                                           r16              33
#BC(){TXXXXXXTE                      0,7,10,11,12,13,23,25,25,25,25,25,25,23,33,                                                 r3;}#                                                                           r17              35
#BC(){TXXXXXXE                       0,7,10,11,12,13,23,25,25,25,25,25,25,35,                                                    r3;}#                                                                           r16              35
#BC(){TXXXXXE                        0,7,10,11,12,13,23,25,25,25,25,25,35,                                                       r3;}#                                                                           r16              35
#BC(){TXXXXE                         0,7,10,11,12,13,23,25,25,25,25,35,                                                          r3;}#                                                                           r16              35
#BC(){TXXXE                          0,7,10,11,12,13,23,25,25,25,35,                                                             r3;}#                                                                           r16              35
#BC(){TXXE                           0,7,10,11,12,13,23,25,25,35,                                                                r3;}#                                                                           r16              35
#BC(){TXE                            0,7,10,11,12,13,23,25,35,                                                                   r3;}#                                                                           r16              33
#BC(){TE                             0,7,10,11,12,13,23,33,                                                                      r3;}#                                                                           r17              22
#BC(){E                              0,7,10,11,12,13,22,                                                                         r3;}#                                                                           S31
#BC(){Er                             0,7,10,11,12,13,22,31,                                                                      3;}#                                                                            S48
#BC(){Er3                            0,7,10,11,12,13,22,31,48,                                                                   ;}#                                                                             S64
#BC(){Er3;                           0,7,10,11,12,13,22,31,48,64,                                                                }#                                                                              r23              32
#BC(){ER                             0,7,10,11,12,13,22,32,                                                                      }#                                                                              S49
#BC(){ER}                            0,7,10,11,12,13,22,32,49,                                                                   #                                                                               r1              6
#A                                   0,6,                                                                                        #                                                                               YES
